"Ticker_ID","Date_control_var","Name_var","Comment_var","Value_date","Value_text","Value_real"
1,"2022-04-23 08:30:11",Date_update_page_arsagera,Дата обновления страницы с потенциальной доходностью на сайте Арсагера,"2022-04-14 00:00:00","",0.0
2,"1970.01.01",Min_cap,Минимальная капитализация компании,"1970.01.01",Big,0.0
3,"1970.01.01",Max_cap,Максимальная капитализация компании,"1970.01.01",Big,0.0
4,"1970.01.01",Min_PE,Минимальный PE,"1970.01.01","",0.0
5,"1970.01.01",Max_PE,Максимальный PE,"1970.01.01","",50.0
6,"1970.01.01",Min_Margin,Минимальная маржа,"1970.01.01","",10.0
7,"1970.01.01",Min_Beta,Минимальная Beta,"1970.01.01","",-1.0
8,"1970.01.01",Max_Beta,Максимальная Beta,"1970.01.01","",1.6
9,"1970.01.01",Max_size_grid,Максимальное количество усреднений,"1970.01.01","",9.0
10,"2022.04.15",path_mt5_moex,Путь к МТ5 через который считываются котировки акций,"1970.01.01",C:\Program Files\Открытие Брокер\terminal64.exe,0.0
11,"2022.04.15",path_mt5_forts,Путь к МТ5 через который считываются котировки индексов,"1970.01.01",C:\Program Files\Открытие Брокер Фортс\terminal64.exe,0.0
